"","id","s_g3","r_g3","m_g3","s_g5","r_g5","m_g5","s_g8","r_g8","m_g8","st_g3","rt_g3","mt_g3","st_g5","rt_g5","mt_g5","st_g8","rt_g8","mt_g8"
"513",5247,39.76,124.46,84.52,63.79,152.33,106.54,77.12,178.28,113.2,-0.72,1.21,1.054,0.36,1.303,1.028,0.49,1.352,0.93
"514",5265,65.97,138.97,114.35,74.7,166.56,145.87,103.25,196.36,167.94,0.336,1.46,1.576,0.917,1.557,1.821,2.154,1.691,2.111
"515",5273,47.32,129,129.11,70.63,165.02,145.77,98.59,190.34,158.61,-0.428,1.366,1.819,0.698,1.452,1.786,1.692,1.55,1.754
"516",5282,41.99,128.43,90.76,70.44,145.26,124.82,88.06,171.63,135.73,-0.667,1.368,1.217,0.731,1.192,1.377,1.01,1.265,1.287
"517",5334,60.74,157.2,107.51,74.76,191.96,129.46,87.65,193.64,131.29,0.087,1.761,1.47,0.95,1.906,1.467,0.988,1.622,1.212
"518",5336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519",5352,63.35,151.91,95.68,91.11,192.96,141.51,94.91,206.2,144.81,0.21,1.579,1.26,1.96,2.056,1.741,1.418,2.122,1.45
"520",5379,52.37,159.74,113.98,73.7,168.12,141.49,77.97,173.47,137.69,-0.262,1.739,1.555,0.953,1.556,1.687,0.527,1.288,1.321
"521",5403,78.17,155.8,118.94,86.05,163.01,141.1,101.79,199.88,169.56,0.806,1.733,1.638,1.615,1.392,1.678,1.988,1.801,2.223
"522",5406,39.29,112.76,82.17,63.33,119.81,101.78,NA,NA,NA,-0.841,1.198,1.025,0.289,0.925,0.897,NA,NA,NA
"523",5414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524",5440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525",5451,35.94,106.88,91.06,53.04,142.18,120.31,98.25,195.55,155.62,-0.958,1.053,1.221,-0.169,1.186,1.294,1.664,1.669,1.678
"526",5478,59.2,128.85,83.02,68.09,165.41,106.89,80.28,188.62,127.77,0.081,1.401,1.047,0.617,1.463,1.042,0.63,1.517,1.154
"527",5479,38.79,95.78,69.83,45.63,105.44,81.58,76.11,154.55,123.68,-0.781,0.922,0.788,-0.568,0.786,0.649,0.446,1.073,1.089
"528",5485,50.64,90.09,77.1,NA,NA,NA,NA,NA,NA,-0.283,0.836,0.959,NA,NA,NA,NA,NA,NA
"529",5538,48.96,125.05,87.07,59.61,146.6,106.99,93.94,166.5,156.01,-0.348,1.236,1.087,0.11,1.183,1.15,1.354,1.203,1.688
"530",5547,62.6,135.67,117.97,NA,NA,NA,NA,NA,NA,0.181,1.386,1.637,NA,NA,NA,NA,NA,NA
"531",5557,56.56,102.2,118.61,73.33,124.9,150.36,94.02,157.54,166.99,-0.047,0.963,1.655,0.845,0.995,1.818,1.359,1.104,2.057
"532",5574,65.3,126.52,132.11,NA,NA,NA,NA,NA,NA,0.3,1.321,1.892,NA,NA,NA,NA,NA,NA
"533",5601,45.73,150.23,112.29,61.01,145.51,130.44,85.9,187.23,166.45,-0.488,1.581,1.558,0.199,1.196,1.425,0.898,1.491,2.03
"534",5618,55.56,146.08,152.2,69.46,143.57,165.85,100.71,179.56,170.32,-0.084,1.464,2.375,0.661,1.159,2.351,1.879,1.37,2.29
"535",5631,65.9,152.24,147.56,NA,NA,NA,NA,NA,NA,0.311,1.661,2.252,NA,NA,NA,NA,NA,NA
"536",5644,NA,NA,NA,70.87,166.28,151.12,100.77,187.37,168.6,NA,NA,NA,0.755,1.497,1.922,1.885,1.494,2.153
"537",5647,51.08,111.25,120.86,NA,NA,NA,NA,NA,NA,-0.248,1.122,1.732,NA,NA,NA,NA,NA,NA
"538",5656,77.41,180.24,141.24,88.25,193.93,152.07,105.7,201.96,161.35,0.752,2.047,2.122,1.743,2.01,1.989,2.508,1.883,1.834
"539",5676,29.75,85.11,64,37.94,109.09,90.59,35.05,109.3,122.02,-1.236,0.726,0.657,-1.007,0.818,0.836,-1.237,0.638,1.063
"540",5682,81.34,157.64,147.25,83.91,177.95,159.68,102.11,201.43,171.19,1.039,1.601,2.241,1.409,1.638,2.153,2.022,1.861,2.387
"541",5685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542",5686,19.34,57.93,83.08,39.16,85.36,97.66,37.58,112.95,131.52,-2.154,0.078,1.03,-0.939,0.512,0.949,-1.113,0.675,1.216
"543",5716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"544",5719,NA,NA,NA,NA,NA,NA,105.17,208.16,169.59,NA,NA,NA,NA,NA,NA,2.42,2.304,2.226
"545",5728,43.69,127.63,101.82,50.23,133.34,126.19,NA,NA,NA,-0.574,1.361,1.359,-0.338,1.063,1.406,NA,NA,NA
"546",5730,58.46,147.94,109.11,50.21,149.37,116.89,NA,NA,NA,0.044,1.583,1.504,-0.347,1.259,1.211,NA,NA,NA
"547",5742,22.2,85.45,51.13,31.24,92.45,69.78,44.28,124.68,79.07,-1.807,0.736,0.277,-1.44,0.614,0.509,-0.815,0.788,0.453
"548",5744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549",5755,20.89,69.12,59.45,28.72,106.44,97.48,NA,NA,NA,-1.946,0.428,0.533,-1.639,0.815,0.944,NA,NA,NA
"550",5763,29.83,99.78,56.9,NA,NA,NA,NA,NA,NA,-1.234,0.939,0.465,NA,NA,NA,NA,NA,NA
"551",5772,35.57,95.26,65.42,47.16,138.05,103.33,NA,NA,NA,-0.93,0.896,0.702,-0.505,1.098,1.041,NA,NA,NA
"552",5777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"553",5778,28.47,93.92,81.44,53.16,145.65,127.64,NA,NA,NA,-1.323,0.883,1.026,-0.187,1.218,1.406,NA,NA,NA
"554",5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"555",5799,32.99,105.65,63.66,28.79,105.85,55.71,NA,NA,NA,-1.054,1.032,0.647,-1.636,0.773,0.154,NA,NA,NA
"556",5805,69.55,149.17,120.16,82.64,183.74,151.38,97.82,197.94,168.23,0.46,1.546,1.685,1.365,1.771,1.927,1.629,1.737,2.128
"557",5809,72.77,165.67,148.52,NA,NA,NA,NA,NA,NA,0.629,1.747,2.287,NA,NA,NA,NA,NA,NA
"558",5818,61.74,137.98,106.71,80.29,149.59,133.21,58.22,187.43,157.14,0.143,1.404,1.494,1.263,1.298,1.481,-0.263,1.495,1.716
"559",5827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"560",5829,49.99,127.88,64.28,34.2,77.85,77.23,84.8,193.09,118.2,-0.301,1.358,0.665,-1.23,0.385,0.664,0.843,1.609,1.004
"561",5836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"562",5849,42.95,125.91,86.7,56.55,131.69,116.43,NA,NA,NA,-0.579,1.317,1.09,-0.038,1.083,1.21,NA,NA,NA
"563",5850,30.81,84.72,60.83,NA,NA,NA,NA,NA,NA,-1.183,0.717,0.569,NA,NA,NA,NA,NA,NA
"564",5862,60.17,147.58,110.76,69.17,174.17,134.41,93.17,206.69,150.07,0.096,1.603,1.579,0.627,1.588,1.592,1.305,2.161,1.555
"565",5865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"566",5880,50.05,146.2,123.39,73.57,165.68,116.67,84.54,183.05,141.5,-0.316,1.578,1.728,0.892,1.472,1.325,0.831,1.422,1.389
"567",5882,34.87,98.23,76.6,56.39,133.61,120.46,37.84,120.16,78.48,-1.048,0.925,0.947,-0.069,1.108,1.23,-1.101,0.745,0.444
"568",5903,45.81,139.64,106.48,53.64,146.32,99.84,NA,NA,NA,-0.457,1.394,1.442,-0.136,1.202,0.972,NA,NA,NA
"569",5904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"570",5923,40.06,104.97,78.41,53.86,127.73,96.99,95.65,196.81,149.62,-0.724,1.01,0.993,-0.116,1.053,0.935,1.469,1.704,1.546
"571",5934,65.97,165.95,147.04,88.42,181.49,169.53,105.8,201.05,172.2,0.31,1.784,2.207,1.762,1.755,2.662,2.525,1.845,2.545
"572",5936,55.59,139.38,112.17,60.6,146.84,102.72,79.85,169.82,127.43,-0.075,1.447,1.542,0.183,1.221,0.998,0.61,1.242,1.148
"573",5962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"574",5970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575",5977,58.48,110.76,98.31,55.24,152.17,105.22,74.35,162.63,144.24,0.022,1.139,1.306,-0.064,1.337,1.033,0.372,1.159,1.44
"576",5979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577",5999,65.7,141.57,151.06,NA,NA,NA,NA,NA,NA,0.315,1.448,2.34,NA,NA,NA,NA,NA,NA
"578",6016,54.39,145.37,121.54,70.99,153.16,147.19,88.92,191.63,159.33,-0.138,1.566,1.709,0.79,1.348,1.809,1.057,1.577,1.774
"579",6027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"580",6046,NA,NA,NA,NA,NA,NA,93.99,202.11,158.77,NA,NA,NA,NA,NA,NA,1.357,1.889,1.759
"581",6065,43.67,152.36,136.14,63.92,181.12,143.31,101.92,203.45,169.04,-0.568,1.672,2.019,0.37,1.721,1.758,2.001,1.953,2.183
"582",6068,56.05,138.06,89.66,78.27,146.44,117.63,90.65,190.14,141.88,-0.059,1.363,1.182,1.188,1.202,1.153,1.154,1.546,1.396
"583",6073,66.69,146.88,116.12,85.72,167.4,139.11,83.36,195.04,159.23,0.305,1.552,1.597,1.617,1.536,1.61,0.773,1.656,1.771
"584",6075,78.47,163.5,111.83,89.41,165.89,142.99,100.28,193.91,152.32,0.836,1.736,1.534,1.902,1.486,1.718,1.839,1.628,1.603
"585",6084,56.39,132.07,113.44,NA,NA,NA,NA,NA,NA,-0.051,1.389,1.543,NA,NA,NA,NA,NA,NA
"586",6085,48.08,108.73,65.96,67.43,147.87,94.07,NA,NA,NA,-0.373,1.18,0.702,0.58,1.247,0.898,NA,NA,NA
"587",6091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"588",6107,76.51,177.49,142.15,88.1,196.69,165.13,106.84,199.44,170.32,0.762,1.985,2.143,1.741,2.084,2.553,2.73,1.786,2.291
"589",6109,49.66,147.59,116.97,66.46,155.83,128.68,93.94,169.44,140.98,-0.335,1.59,1.61,0.497,1.367,1.438,1.354,1.238,1.38
"590",6130,57.92,126.72,109.13,78.88,162.73,137.05,90.08,187.47,146.18,0.013,1.341,1.512,1.187,1.425,1.571,1.121,1.496,1.477
"591",6137,43.24,123.82,90.29,64.08,147.23,122.06,82.31,168.45,145,-0.582,1.203,1.197,0.362,1.226,1.349,0.724,1.226,1.454
"592",6149,65.32,125.81,118.88,85.55,148.07,137.91,101.42,199.06,160.92,0.3,1.29,1.659,1.562,1.232,1.654,1.95,1.773,1.821
"593",6151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"594",6170,64.29,147.94,142.53,73.34,164.93,152.69,96.61,188.48,162.74,0.246,1.501,2.145,0.825,1.454,1.914,1.538,1.514,1.88
"595",6191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"596",6195,62.98,145.41,110.04,75.1,182.55,141.64,98.18,196.05,148.05,0.203,1.424,1.538,0.972,1.731,1.665,1.658,1.683,1.514
"597",6196,59.59,132.75,123.44,82.54,166.78,140.24,99.11,198.18,168.05,0.056,1.378,1.759,1.423,1.516,1.632,1.735,1.744,2.117
"598",6215,85.14,188.73,142.93,88.75,188.8,163.59,107.02,201.09,168.67,1.147,2.137,2.142,1.853,1.824,2.434,2.769,1.847,2.157
"599",6224,65.98,156.13,149.55,82.95,175.34,158.39,95.84,191.43,158.48,0.291,1.655,2.33,1.394,1.614,2.101,1.483,1.572,1.751
"600",6230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"601",6243,50.6,106.96,101.24,42.3,102.12,93.61,NA,NA,NA,-0.332,1.07,1.339,-0.732,0.715,0.903,NA,NA,NA
"602",6247,47.32,110.29,93.86,61.85,145.26,126.77,NA,NA,NA,-0.41,1.143,1.241,0.269,1.179,1.402,NA,NA,NA
"603",6249,47,138.81,110.62,69.76,166.01,139.74,88.91,195.21,156.35,-0.496,1.411,1.525,0.713,1.517,1.612,1.056,1.66,1.696
"604",6251,41.37,133.97,109.03,51.03,172.05,121.16,88.64,184.87,142.7,-0.671,1.414,1.474,-0.288,1.597,1.318,1.041,1.451,1.411
"605",6272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"606",6287,86.03,175.22,134.97,NA,NA,NA,NA,NA,NA,1.234,1.796,1.984,NA,NA,NA,NA,NA,NA
"607",6289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"608",6301,63.69,179.07,116.27,79.97,181.33,131.8,97.62,199.76,148.65,0.232,2.005,1.598,1.306,1.731,1.537,1.614,1.797,1.526
"609",6317,65.63,140.93,97.07,69.62,156,118.01,100.93,184.5,157.86,0.282,1.464,1.294,0.68,1.371,1.246,1.901,1.445,1.734
"610",6327,48.97,105.69,101.07,67.73,138.54,109.94,80.62,157.28,140.91,-0.352,1.028,1.318,0.569,1.111,1.202,0.645,1.101,1.378
"611",6334,36.71,124.6,91.33,56.76,134.69,129.12,93.47,150.99,157.42,-0.892,1.253,1.212,0.029,1.112,1.368,1.324,1.037,1.723
"612",6336,56.4,137.29,87.35,75.32,164.98,110.73,93.27,191.95,151.6,-0.071,1.439,1.11,0.964,1.46,1.094,1.311,1.583,1.587
"613",6340,59.82,155.04,132.84,82.55,180.03,141.65,98.83,197.23,161.46,0.058,1.694,1.966,1.433,1.678,1.694,1.712,1.716,1.837
"614",6345,86.1,170.26,137.83,90.58,198.48,158.74,104.18,192.76,169.26,1.194,1.886,2.044,2.034,2.141,2.15,2.274,1.601,2.199
"615",6348,66.01,106.44,102.52,75.17,157.88,135.38,87.06,158.92,134.61,0.317,1.02,1.355,0.97,1.345,1.61,0.958,1.118,1.268
"616",6350,75.42,146.97,132.98,79.25,170.19,148.68,102.15,194.75,165.28,0.726,1.594,1.958,1.207,1.532,1.87,2.027,1.649,1.977
"617",6352,60.15,150.9,112.52,78.36,171.11,137.6,101.73,183.21,155.25,0.055,1.522,1.56,1.195,1.606,1.654,1.982,1.425,1.669
"618",6379,71.02,148.89,116.28,NA,NA,NA,NA,NA,NA,0.54,1.618,1.609,NA,NA,NA,NA,NA,NA
"619",6394,37.66,88.91,66.44,53.96,105.92,110.69,65.39,97.54,123.48,-0.828,0.804,0.733,-0.117,0.802,1.093,0.012,0.511,1.086
"620",6403,60.07,180.96,138.32,NA,NA,NA,NA,NA,NA,0.097,2.03,2.068,NA,NA,NA,NA,NA,NA
"621",6405,69.3,160.98,137.67,NA,NA,NA,NA,NA,NA,0.434,1.752,2.003,NA,NA,NA,NA,NA,NA
"622",6416,47.7,126,80.81,66.24,164.08,115.51,77.04,175.38,122.12,-0.409,1.35,1.007,0.505,1.405,1.17,0.486,1.313,1.064
"623",6425,65.16,140.65,116.87,78.02,163.04,141.98,102.45,166.94,164.24,0.298,1.461,1.601,1.114,1.392,1.776,2.06,1.208,1.934
"624",6426,61.55,145.54,129.7,81.41,167.35,149.73,105.86,190.89,157.76,0.211,1.473,1.815,1.305,1.541,1.887,2.536,1.561,1.732
"625",6435,44.12,128.33,128.21,72.48,162.78,143.49,87.97,189.01,167.83,-0.564,1.371,1.833,0.82,1.386,1.71,1.006,1.524,2.104
"626",6451,62.99,103.24,111.36,NA,NA,NA,NA,NA,NA,0.203,0.966,1.533,NA,NA,NA,NA,NA,NA
"627",6470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"628",6475,NA,NA,NA,NA,NA,NA,45.63,138.41,148.84,NA,NA,NA,NA,NA,NA,-0.759,0.916,1.53
"629",6496,55.13,157.06,79.78,64.1,162.59,91.27,93.22,190.03,121.52,-0.116,1.706,0.996,0.37,1.391,0.857,1.308,1.544,1.055
"630",6503,44.37,126.97,79.25,46.74,126.02,120.02,68.99,154.27,132.72,-0.539,1.332,1.004,-0.527,0.97,1.301,0.154,1.07,1.236
"631",6527,65.37,159.6,93.22,79.25,181.69,138,101.03,196.89,160.28,0.288,1.739,1.244,1.229,1.763,1.586,1.911,1.706,1.802
"632",6529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"633",6532,54.25,126.42,95.26,56.56,161.13,137.97,82.95,190.01,151.32,-0.156,1.347,1.255,-0.038,1.395,1.589,0.754,1.543,1.581
"634",6539,63.6,169.3,117.62,80.48,190.63,146.94,102.08,204.62,167.45,0.18,1.87,1.65,1.263,1.905,1.852,2.019,2.017,2.082
"635",6568,76.42,169.5,152.21,89.58,192.57,168.27,106.07,201.69,169.94,0.711,1.877,2.379,1.915,2.057,2.542,2.574,1.871,2.256
"636",6589,44.14,108.99,129.2,73.33,148.7,146.7,93.15,157.23,167.92,-0.551,1.127,1.826,0.817,1.285,1.832,1.303,1.1,2.109
"637",6591,22.6,94.34,73.14,NA,NA,NA,NA,NA,NA,-1.766,0.889,0.851,NA,NA,NA,NA,NA,NA
"638",6592,30.64,76.37,67.25,42.43,102.31,107.46,NA,NA,NA,-1.21,0.603,0.74,-0.732,0.713,0.994,NA,NA,NA
"639",6595,21.74,91.72,76.87,39.21,144.27,125.07,65.02,176.04,132.34,-1.928,0.86,0.968,-0.937,1.182,1.376,-0.002,1.322,1.229
"640",6609,45.98,123.83,77.89,56.63,147.71,123.45,79.54,161.41,135.2,-0.469,1.201,0.979,-0.025,1.251,1.28,0.597,1.145,1.278
"641",6618,62.07,151.88,140.51,81.53,169.26,160.14,103.42,189.5,165.53,0.19,1.588,2.116,1.291,1.577,2.216,2.174,1.533,1.988
"642",6620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"643",6633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644",6643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645",6649,68.12,158.35,125.76,80.11,191.52,155.67,106.69,204.24,166.47,0.385,1.658,1.813,1.242,1.932,2.019,2.698,1.995,2.031
"646",6651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647",6676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"648",6719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649",6727,21.81,NA,45.33,28.08,73.54,60.14,33.17,91.23,79.52,-1.841,NA,0.063,-1.709,0.288,0.277,-1.335,0.434,0.46
"650",6729,53.86,163.04,132.51,83.83,180.22,154.13,105.94,189.32,163.79,-0.153,1.783,1.938,1.521,1.677,2.112,2.55,1.53,1.917
"651",6749,54.59,153.14,140.13,65.06,181.31,151.4,87.16,196.18,166.55,-0.129,1.567,2.046,0.414,1.719,1.863,0.963,1.686,2.035
"652",6752,79.02,146.13,102.71,NA,NA,NA,NA,NA,NA,0.855,1.566,1.363,NA,NA,NA,NA,NA,NA
"653",6769,40.32,63.33,88.94,51.81,104.69,122.58,85.4,146.87,159.07,-0.712,0.298,1.138,-0.239,0.771,1.346,0.873,0.996,1.767
"654",6779,57.06,152.19,115.24,75.79,169.46,151.37,94.16,188.54,150,-0.057,1.633,1.581,1.009,1.52,1.831,1.368,1.515,1.553
"655",6781,75.92,166.26,125.57,84.8,176.47,141.82,92.6,198.64,157.03,0.703,1.873,1.741,1.539,1.673,1.707,1.269,1.759,1.713
"656",6790,29.23,96.1,58.52,34.37,125.3,58.63,77.23,120.71,93.16,-1.28,0.888,0.501,-1.219,0.984,0.234,0.494,0.75,0.653
"657",6793,57.72,126.22,84.2,56.85,127.92,113.9,91.05,167.24,134.21,-0.014,1.341,1.05,-0.013,1.053,1.162,1.177,1.212,1.261
"658",6818,47.26,126.1,88.55,61.29,150.22,107.4,84.39,187.36,126.29,-0.421,1.3,1.143,0.247,1.322,1.044,0.823,1.494,1.13
"659",6822,53.93,124.82,77.35,57.12,167.09,112.47,84.46,195.63,134.41,-0.169,1.242,0.965,0.031,1.474,1.122,0.826,1.671,1.264
"660",6823,61.51,167.55,117.48,82.83,175.21,151.89,94.65,190.65,141.44,0.128,1.861,1.615,1.417,1.609,1.854,1.401,1.556,1.388
"661",6840,47.92,125.69,85.56,66.76,140.97,111.5,92.88,170.52,131.52,-0.39,1.352,1.054,0.469,1.14,1.127,1.287,1.251,1.216
"662",6846,56.53,124.81,89.63,NA,NA,NA,NA,NA,NA,-0.06,1.261,1.168,NA,NA,NA,NA,NA,NA
"663",6853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"664",6877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"665",6878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"666",6885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"667",6890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"668",6895,76.38,143.44,101.01,81.11,164.49,142.29,97.32,181.43,149.99,0.727,1.434,1.323,1.355,1.413,1.738,1.591,1.398,1.553
"669",6904,45.91,127.79,124.88,68.96,169.22,137.62,96.24,181.84,156.63,-0.493,1.396,1.808,0.651,1.571,1.662,1.511,1.404,1.703
"670",6931,54.75,115.88,94.4,81.94,145.93,141.84,88.02,152.12,120.01,-0.115,1.198,1.268,1.302,1.193,1.7,1.008,1.048,1.032
"671",6933,37.88,125.39,105.95,51.42,151.99,128.19,81.18,163.7,147.49,-0.894,1.338,1.451,-0.247,1.309,1.439,0.671,1.171,1.503
"672",6959,41.76,58.01,77.08,59.15,99.1,105.35,87.05,155.5,126.25,-0.643,0.079,0.959,0.126,0.668,1.041,0.957,1.082,1.13
"673",6960,49.88,105.82,100.69,71.78,149.54,129.92,88.61,184.86,143.91,-0.322,1.099,1.321,0.752,1.302,1.406,1.04,1.451,1.434
"674",6963,48.16,144.67,103.17,64.87,157.37,124.46,92.37,174.6,145.31,-0.39,1.561,1.377,0.431,1.379,1.378,1.255,1.303,1.46
"675",6969,63.18,130.13,105.83,57.45,128,127.79,71.57,NA,142.25,0.157,1.418,1.449,0.064,1.019,1.429,0.257,NA,1.403
"676",6983,92.66,157.16,129,93.71,192.37,154.59,106.44,189.96,168.05,1.539,1.697,1.845,2.187,1.973,2.023,2.646,1.542,2.117
"677",6985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"678",6986,71.27,169.42,140.1,77.75,180.48,149.66,100.46,199.6,162.14,0.51,1.89,2.09,1.156,1.688,1.91,1.856,1.791,1.859
"679",6992,59.49,165.87,103.12,82.36,181.06,129.89,91.97,191.59,128.14,0.015,1.761,1.373,1.431,1.691,1.475,1.231,1.576,1.16
"680",7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681",7007,52.48,146.29,141.84,73.84,165.89,150.15,91.6,193.97,163.16,-0.191,1.459,2.111,0.911,1.485,1.921,1.209,1.629,1.894
"682",7018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"683",7045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684",7048,29.96,86.18,111.04,64.88,131.74,141.1,69.09,NA,158.72,-1.255,0.692,1.527,0.438,1.058,1.643,0.158,NA,1.757
"685",7079,61.99,147.78,102.05,74.78,166.6,135.68,96.07,172.01,148.6,0.164,1.525,1.347,0.917,1.51,1.55,1.499,1.27,1.525
"686",7097,47.81,154.66,89.9,68.02,166.42,117.87,79.97,190.9,130.03,-0.402,1.668,1.189,0.552,1.457,1.347,0.616,1.561,1.191
"687",7105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688",7110,58.41,123.3,89.9,NA,NA,NA,NA,NA,NA,0.048,1.24,1.177,NA,NA,NA,NA,NA,NA
"689",7119,56.24,167.48,129.3,NA,NA,NA,NA,NA,NA,-0.064,1.839,1.865,NA,NA,NA,NA,NA,NA
"690",7130,62.84,127.59,75.42,NA,NA,NA,NA,NA,NA,0.209,1.315,0.915,NA,NA,NA,NA,NA,NA
"691",7140,67.93,162.98,83.78,87.61,179.48,117.86,96.41,194.37,161.69,0.438,1.751,1.046,1.75,1.684,1.23,1.523,1.639,1.845
"692",7145,57.49,147.27,116.51,65.43,165.59,140.91,84.52,185.45,154.84,-0.029,1.588,1.598,0.469,1.469,1.67,0.83,1.461,1.66
"693",7150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"694",7151,67.15,166.56,95.73,69.48,182.18,130.11,93.05,199.47,140,0.346,1.814,1.273,0.658,1.764,1.484,1.297,1.787,1.362
"695",7174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"696",7197,76.2,166.18,103.82,85.37,180.48,134.77,99.59,197.57,152.85,0.739,1.808,1.39,1.537,1.696,1.611,1.777,1.726,1.614
"697",7221,54.8,156.81,89.58,NA,NA,NA,NA,NA,NA,-0.125,1.709,1.192,NA,NA,NA,NA,NA,NA
"698",7237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"699",7246,59.7,156.8,130.34,87.75,171.6,156.53,104.3,200.89,162.66,0.046,1.714,1.899,1.706,1.565,2.053,2.291,1.839,1.877
"700",7255,65.78,147.97,110.7,NA,NA,NA,NA,NA,NA,0.34,1.457,1.515,NA,NA,NA,NA,NA,NA
"701",7257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702",7265,35.32,106.96,84.8,39.06,146.77,112.11,41.58,167.01,118.83,-0.942,1.1,1.058,-0.928,1.198,1.166,-0.932,1.209,1.014
"703",7267,79.5,167.14,104.94,82.84,186.15,140.3,103.04,192.67,133.88,0.869,1.787,1.442,1.438,1.876,1.717,2.128,1.599,1.255
"704",7289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
