"","id","s_g3","r_g3","m_g3","s_g5","r_g5","m_g5","s_g8","r_g8","m_g8","st_g3","rt_g3","mt_g3","st_g5","rt_g5","mt_g5","st_g8","rt_g8","mt_g8"
"87",939,55.77,164.64,124.61,72.31,184.78,142.82,92.42,200.12,161.25,-0.109,1.791,1.76,0.833,1.78,1.687,1.258,1.81,1.831
"88",941,56.39,125.1,106.41,76.76,142.99,140.38,NA,NA,NA,-0.082,1.304,1.452,1.111,1.135,1.649,NA,NA,NA
"89",948,26.59,101.24,63.54,42.51,128.86,85.26,75.46,158.51,140.68,-1.461,0.991,0.644,-0.739,1.054,0.795,0.418,1.114,1.374
"90",960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",971,27.64,85.42,74.82,38.55,103.54,104.35,83.43,130.35,110.01,-1.379,0.74,0.883,-0.954,0.74,0.98,0.777,0.84,0.884
"93",975,48.55,109.58,82.03,67.94,139.28,122.13,79.79,182.6,147.79,-0.355,1.137,1.026,0.549,1.116,1.34,0.607,1.415,1.509
"94",976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",990,55.21,127.21,111.08,NA,NA,NA,NA,NA,NA,-0.092,1.364,1.534,NA,NA,NA,NA,NA,NA
"97",995,45.77,150.98,136.31,56.41,147.91,148.43,95.78,194.16,165.02,-0.471,1.637,2.01,-0.04,1.225,1.874,1.478,1.634,1.966
"98",997,34.84,104.51,77.43,45.47,144.42,112.63,77.67,143.71,121.36,-0.979,0.991,0.966,-0.58,1.158,1.121,0.514,0.966,1.053
"99",1014,38.98,124.73,99.43,52.82,147.32,139.95,79.51,183.63,154.36,-0.767,1.244,1.308,-0.177,1.277,1.614,0.595,1.431,1.649
"100",1018,31.05,83.5,57.83,38.54,124.63,86.23,40.44,140.29,106.48,-1.16,0.717,0.482,-0.976,0.97,0.736,-0.982,0.933,0.834
"101",1052,38.55,105.63,88.13,56.57,153.08,129.06,NA,NA,NA,-0.785,1.035,1.133,0.027,1.3,1.371,NA,NA,NA
"102",1054,42.09,106.25,63.58,45.24,129.24,80.22,72.33,148.19,119.45,-0.648,1.138,0.645,-0.609,1.058,0.728,0.288,1.009,1.023
"103",1055,59.74,162.26,114.54,69.25,175.23,141.28,89.97,202.13,158.9,0.046,1.715,1.582,0.67,1.66,1.659,1.115,1.89,1.762
"104",1082,29.12,91.22,58.77,47.01,125.99,100.58,57.89,98.86,103.23,-1.276,0.841,0.514,-0.499,0.999,0.961,-0.275,0.526,0.79
"105",1084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",1114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",1119,32.09,123.04,93.33,31.12,146.8,104.96,49.35,160.67,112.29,-1.121,1.22,1.233,-1.454,1.199,1.004,-0.608,1.137,0.917
"108",1135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",1147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",1150,54.36,115.66,112.76,62.37,144.76,146.11,96.65,184.22,159.28,-0.128,1.18,1.557,0.251,1.175,1.826,1.54,1.441,1.773
"111",1165,70.09,170.08,130.53,88.1,185.23,159.11,100.21,198.81,158.81,0.506,1.802,1.906,1.864,1.859,2.136,1.833,1.765,1.76
"112",1167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",1171,45.2,153.8,108.53,60.48,177.4,138.89,78.77,150.81,155.72,-0.508,1.536,1.48,0.164,1.622,1.595,0.562,1.035,1.681
"114",1175,75.19,165.66,130.07,81.52,165.85,148.12,103.96,203.79,153.42,0.664,1.807,1.893,1.281,1.481,1.878,2.244,1.971,1.627
"115",1181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",1188,69.91,147.03,89.58,NA,NA,NA,NA,NA,NA,0.477,1.547,1.173,NA,NA,NA,NA,NA,NA
"117",1198,80.39,162.83,151.28,91.01,181.73,156.91,105.86,205.91,165.36,0.921,1.728,2.371,1.938,1.705,2.147,2.536,2.1,1.98
"118",1209,74.3,148.66,147.91,82.55,176.93,157.98,104.47,197.34,168.85,0.674,1.595,2.264,1.44,1.674,2.109,2.314,1.719,2.17
"119",1255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",1267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",1271,60.89,145.6,81.84,NA,NA,NA,NA,NA,NA,0.099,1.449,1.024,NA,NA,NA,NA,NA,NA
"122",1276,65.09,166.08,144.39,72.42,179.58,145.96,96.86,204.05,162.57,0.287,1.85,2.197,0.818,1.631,1.833,1.557,1.985,1.874
"123",1284,45.41,103.45,68.95,40.26,128.48,91.12,78.16,161.03,136.01,-0.521,0.975,0.773,-0.903,1.015,0.841,0.535,1.141,1.292
"124",1287,73.56,170.65,141.03,91.92,181.37,153.11,106.16,203.45,167.04,0.603,1.894,2.028,2.058,1.747,2.062,2.591,1.953,2.06
"125",1312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",1318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",1321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",1327,48.93,127.95,107.89,64.04,168.07,129.42,87.4,185.96,157.97,-0.35,1.277,1.491,0.328,1.555,1.469,0.975,1.469,1.737
"129",1329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",1330,56.06,112.98,103.88,73.37,148.02,119.15,92.63,162.26,134.83,-0.062,1.16,1.418,0.844,1.258,1.284,1.271,1.155,1.271
"131",1335,48.36,147.48,103.72,71.17,176.68,140.28,86.36,171.06,150.77,-0.398,1.599,1.398,0.791,1.624,1.635,0.921,1.258,1.569
"132",1344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",1354,56.94,149.99,123.27,84.5,187.37,154.32,95.27,194.83,160.46,-0.024,1.63,1.774,1.515,1.881,2.01,1.443,1.651,1.807
"134",1362,62.84,135.08,118.12,73.27,166.03,138.59,92.95,183.59,160.52,0.215,1.43,1.619,0.857,1.493,1.603,1.291,1.431,1.809
"135",1398,40.07,123.75,80.17,52.29,137.23,107.41,81.56,164.94,123.72,-0.708,1.217,1.005,-0.205,1.122,1.046,0.689,1.185,1.089
"136",1399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",1418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",1432,73.3,166.49,131.3,86.55,182.64,160.97,97.39,181.41,169.94,0.664,1.852,1.9,1.635,1.845,2.261,1.596,1.397,2.255
"139",1433,45.92,108.76,69.71,65.98,133.42,103.55,79.69,171.91,136.92,-0.501,1.173,0.784,0.463,1.063,1.054,0.603,1.268,1.307
"140",1437,46.79,124.24,83,65.55,148.28,107.02,97.09,178.32,141.53,-0.42,1.205,1.049,0.431,1.276,1.159,1.574,1.353,1.389
"141",1440,64.82,159.09,131.77,75.98,182.99,165.22,100.11,198.27,169.21,0.329,1.696,1.916,1.01,1.758,2.337,1.824,1.747,2.196
"142",1465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
